state;year;ratio
Alabama;1960;63.5189822269296
Alaska;1960;643.7720799232426
Arizona;1960;330.60428011589966
Arkansas;1960;89.34809480303112
California;1960;141.3864705198202
Colorado;1960;388.0390912610244
Connecticut;1960;436.13331156019524
Delaware;1960;214.20953097971733
District Of Columbia;1960;158.3860850624905
Florida;1960;75.18842546591377
Georgia;1960;5.503261887299283
Hawaii;1960;841.0612353264682
Idaho;1960;424.31627524951625
Illinois;1960;224.7360868662112
Indiana;1960;223.6354846693768
Iowa;1960;63.970129865891195
Kansas;1960;0.0
Kentucky;1960;353.3064134955545
Louisiana;1960;7.491506044478668
Maine;1960;415.4694536581843
Maryland;1960;104.84766450295402
Massachusetts;1960;421.53386818651677
Michigan;1960;452.232170134091
Minnesota;1960;126.68928814973297
Mississippi;1960;76.44133231044272
Missouri;1960;17.385011804909148
Montana;1960;315.9609168794562
Nebraska;1960;14.879581671189587
Nevada;1960;268.15947952523504
New Hampshire;1960;187.00951194636534
New Jersey;1960;176.32082379093234
New Mexico;1960;6.834745321616827
New York;1960;278.17992094530047
North Carolina;1960;27.193982645454337
North Dakota;1960;391.4958747466187
Ohio;1960;191.67769547467557
Oklahoma;1960;51.88370490885133
Oregon;1960;626.1141739606838
Pennsylvania;1960;59.78250018596448
Rhode Island;1960;226.6465616739268
South Carolina;1960;53.89084334133302
South Dakota;1960;17.6337297983583
Tennessee;1960;537.0765910242217
Texas;1960;518.5769292036747
Utah;1960;557.5847127922239
Vermont;1960;891.2976010628885
Virginia;1960;186.44051133503356
Washington;1960;456.4326405239845
West Virginia;1960;189.63449670800318
Wisconsin;1960;1092.951348216258
Wyoming;1960;210.26097810740882
