state;year;ratio
Alabama;1950;50.82072531887882
Alaska;1950;
Arizona;1950;318.70883566550646
Arkansas;1950;91.07043635779003
California;1950;139.12420519346654
Colorado;1950;395.3696695089915
Connecticut;1950;198.27826710772786
Delaware;1950;196.48836002955184
District Of Columbia;1950;214.54091236608335
Florida;1950;84.58109085791712
Georgia;1950;62.67821486405592
Hawaii;1950;
Idaho;1950;324.8181816637418
Illinois;1950;200.94864933858085
Indiana;1950;170.83419754442045
Iowa;1950;400.0651641522384
Kansas;1950;93.68608286678364
Kentucky;1950;162.14990053674163
Louisiana;1950;28.693698863729526
Maine;1950;106.48147134849536
Maryland;1950;62.057165148457045
Massachusetts;1950;264.4699493488347
Michigan;1950;578.4738485374385
Minnesota;1950;125.7676908803839
Mississippi;1950;99.36142500346503
Missouri;1950;58.18462454227969
Montana;1950;301.17220282086686
Nebraska;1950;275.59203627283085
Nevada;1950;68.71435442864015
New Hampshire;1950;34.31837702206503
New Jersey;1950;606.2255536283053
New Mexico;1950;137.5540049942233
New York;1950;201.77756296074926
North Carolina;1950;119.05673388185761
North Dakota;1950;63.58571806673596
Ohio;1950;162.47144857812
Oklahoma;1950;27.4475440716663
Oregon;1950;49.75873259183838
Pennsylvania;1950;165.57420585916648
Rhode Island;1950;30.43328921979654
South Carolina;1950;90.45704187995713
South Dakota;1950;102.95063884548212
Tennessee;1950;104.86925064662283
Texas;1950;177.1191335608986
Utah;1950;888.2766069256252
Vermont;1950;158.04228756283968
Virginia;1950;85.33513324574831
Washington;1950;143.08755537601888
West Virginia;1950;293.23597692804776
Wisconsin;1950;547.2583944156119
Wyoming;1950;209.61762853277986
