disease;state;year;ratio
Hepatitis A;Alabama;1970;11.991295422838336
Hepatitis A;Alaska;1970;37.61876543867476
Hepatitis A;Arizona;1970;34.72810435371845
Hepatitis A;Arkansas;1970;11.022750020147715
Hepatitis A;California;1970;47.22065215419292
Hepatitis A;Colorado;1970;41.4541293069821
Hepatitis A;Connecticut;1970;28.366838637877184
Hepatitis A;Delaware;1970;24.630362121057317
Hepatitis A;District Of Columbia;1970;11.50017845104493
Hepatitis A;Florida;1970;26.57066271857647
Hepatitis A;Georgia;1970;16.62463299978756
Hepatitis A;Hawaii;1970;30.83684964498589
Hepatitis A;Idaho;1970;23.576730328516476
Hepatitis A;Illinois;1970;15.143095504255182
Hepatitis A;Indiana;1970;11.24445936004008
Hepatitis A;Iowa;1970;11.967245154327895
Hepatitis A;Kansas;1970;24.704239069375735
Hepatitis A;Kentucky;1970;38.55586686078194
Hepatitis A;Louisiana;1970;15.488948196059326
Hepatitis A;Maine;1970;64.71461058335888
Hepatitis A;Maryland;1970;23.123603692536125
Hepatitis A;Massachusetts;1970;38.74027318571953
Hepatitis A;Michigan;1970;42.91790848603895
Hepatitis A;Minnesota;1970;8.751709277153491
Hepatitis A;Mississippi;1970;10.600330549881997
Hepatitis A;Missouri;1970;15.50304383555141
Hepatitis A;Montana;1970;23.90522012243505
Hepatitis A;Nebraska;1970;8.897918628534143
Hepatitis A;Nevada;1970;28.03137877554027
Hepatitis A;New Hampshire;1970;27.925349846342797
Hepatitis A;New Jersey;1970;37.03877310842776
Hepatitis A;New Mexico;1970;34.54724409448819
Hepatitis A;New York;1970;27.548440483551897
Hepatitis A;North Carolina;1970;18.811273147360154
Hepatitis A;North Dakota;1970;10.683743389433777
Hepatitis A;Ohio;1970;21.094596450606492
Hepatitis A;Oklahoma;1970;15.629707228231627
Hepatitis A;Oregon;1970;48.19772543075522
Hepatitis A;Pennsylvania;1970;24.275242415385772
Hepatitis A;Rhode Island;1970;69.60838680715096
Hepatitis A;South Carolina;1970;14.475880480954373
Hepatitis A;South Dakota;1970;3.155488973068653
Hepatitis A;Tennessee;1970;32.29105685545254
Hepatitis A;Texas;1970;24.480361677025346
Hepatitis A;Utah;1970;29.26535463473533
Hepatitis A;Vermont;1970;82.59626853914884
Hepatitis A;Virginia;1970;29.10620084698399
Hepatitis A;Washington;1970;40.30307679085431
Hepatitis A;West Virginia;1970;21.95802519955717
Hepatitis A;Wisconsin;1970;10.865306194514787
Hepatitis A;Wyoming;1970;24.968713900654603
Measles;Alabama;1950;50.82072531887882
Measles;Alabama;1960;63.5189822269296
Measles;Alabama;1970;14.139856830320266
Measles;Alaska;1950;
Measles;Alaska;1960;643.7720799232426
Measles;Alaska;1970;35.288399438048884
Measles;Arizona;1950;318.70883566550646
Measles;Arizona;1960;330.60428011589966
Measles;Arizona;1970;56.80727313795246
Measles;Arkansas;1950;91.07043635779003
Measles;Arkansas;1960;89.34809480303112
Measles;Arkansas;1970;1.715805427664503
Measles;California;1950;139.12420519346654
Measles;California;1960;141.3864705198202
Measles;California;1970;9.767889094515178
Measles;Colorado;1950;395.3696695089915
Measles;Colorado;1960;388.0390912610244
Measles;Colorado;1970;10.87321424445432
Measles;Connecticut;1950;198.27826710772786
Measles;Connecticut;1960;436.13331156019524
Measles;Connecticut;1970;3.8262247465043644
Measles;Delaware;1950;196.48836002955184
Measles;Delaware;1960;214.20953097971733
Measles;Delaware;1970;48.895829988469345
Measles;District Of Columbia;1950;214.54091236608335
Measles;District Of Columbia;1960;158.3860850624905
Measles;District Of Columbia;1970;45.60415592655748
Measles;Florida;1950;84.58109085791712
Measles;Florida;1960;75.18842546591377
Measles;Florida;1970;21.283041922584815
Measles;Georgia;1950;62.67821486405592
Measles;Georgia;1960;5.503261887299283
Measles;Georgia;1970;0.3921931769281469
Measles;Hawaii;1950;
Measles;Hawaii;1960;841.0612353264682
Measles;Hawaii;1970;24.98175161112781
Measles;Idaho;1950;324.8181816637418
Measles;Idaho;1960;424.31627524951625
Measles;Idaho;1970;13.753092691634611
Measles;Illinois;1950;200.94864933858085
Measles;Illinois;1960;224.7360868662112
Measles;Illinois;1970;29.6293603657233
Measles;Indiana;1950;170.83419754442045
Measles;Indiana;1960;223.6354846693768
Measles;Indiana;1970;5.525958623855313
Measles;Iowa;1950;400.0651641522384
Measles;Iowa;1960;63.970129865891195
Measles;Iowa;1970;31.653009372689755
Measles;Kansas;1950;93.68608286678364
Measles;Kansas;1960;0.0
Measles;Kansas;1970;3.3829228275181187
Measles;Kentucky;1950;162.14990053674163
Measles;Kentucky;1960;353.3064134955545
Measles;Kentucky;1970;33.243172877547686
Measles;Louisiana;1950;28.693698863729526
Measles;Louisiana;1960;7.491506044478668
Measles;Louisiana;1970;8.485966298904843
Measles;Maine;1950;106.48147134849536
Measles;Maine;1960;415.4694536581843
Measles;Maine;1970;42.43746270341757
Measles;Maryland;1950;62.057165148457045
Measles;Maryland;1960;104.84766450295402
Measles;Maryland;1970;35.48848549063978
Measles;Massachusetts;1950;264.4699493488347
Measles;Massachusetts;1960;421.53386818651677
Measles;Massachusetts;1970;15.907417074898447
Measles;Michigan;1950;578.4738485374385
Measles;Michigan;1960;452.232170134091
Measles;Michigan;1970;20.49558297088602
Measles;Minnesota;1950;125.7676908803839
Measles;Minnesota;1960;126.68928814973297
Measles;Minnesota;1970;1.2877890527943576
Measles;Mississippi;1950;99.36142500346503
Measles;Mississippi;1960;76.44133231044272
Measles;Mississippi;1970;6.224874961207301
Measles;Missouri;1950;58.18462454227969
Measles;Missouri;1960;17.385011804909148
Measles;Missouri;1970;16.657753307440757
Measles;Montana;1950;301.17220282086686
Measles;Montana;1960;315.9609168794562
Measles;Montana;1970;16.416837915407203
Measles;Nebraska;1950;275.59203627283085
Measles;Nebraska;1960;14.879581671189587
Measles;Nebraska;1970;53.05046939891189
Measles;Nevada;1950;68.71435442864015
Measles;Nevada;1960;268.15947952523504
Measles;Nevada;1970;4.296780688221501
Measles;New Hampshire;1950;34.31837702206503
Measles;New Hampshire;1960;187.00951194636534
Measles;New Hampshire;1970;8.675836845465723
Measles;New Jersey;1950;606.2255536283053
Measles;New Jersey;1960;176.32082379093234
Measles;New Jersey;1970;23.85548098508907
Measles;New Mexico;1950;137.5540049942233
Measles;New Mexico;1960;6.834745321616827
Measles;New Mexico;1970;29.724409448818896
Measles;New York;1950;201.77756296074926
Measles;New York;1960;278.17992094530047
