state;year;ratio
Alabama;1950;50.82072531887882
Alabama;1960;63.5189822269296
Alabama;1970;14.139856830320266
Alaska;1950;
Alaska;1960;643.7720799232426
Alaska;1970;35.288399438048884
Arizona;1950;318.70883566550646
Arizona;1960;330.60428011589966
Arizona;1970;56.80727313795246
Arkansas;1950;91.07043635779003
Arkansas;1960;89.34809480303112
Arkansas;1970;1.715805427664503
California;1950;139.12420519346654
California;1960;141.3864705198202
California;1970;9.767889094515178
Colorado;1950;395.3696695089915
Colorado;1960;388.0390912610244
Colorado;1970;10.87321424445432
Connecticut;1950;198.27826710772786
Connecticut;1960;436.13331156019524
Connecticut;1970;3.8262247465043644
Delaware;1950;196.48836002955184
Delaware;1960;214.20953097971733
Delaware;1970;48.895829988469345
District Of Columbia;1950;214.54091236608335
District Of Columbia;1960;158.3860850624905
District Of Columbia;1970;45.60415592655748
Florida;1950;84.58109085791712
Florida;1960;75.18842546591377
Florida;1970;21.283041922584815
Georgia;1950;62.67821486405592
Georgia;1960;5.503261887299283
Georgia;1970;0.3921931769281469
Hawaii;1950;
Hawaii;1960;841.0612353264682
Hawaii;1970;24.98175161112781
Idaho;1950;324.8181816637418
Idaho;1960;424.31627524951625
Idaho;1970;13.753092691634611
Illinois;1950;200.94864933858085
Illinois;1960;224.7360868662112
Illinois;1970;29.6293603657233
Indiana;1950;170.83419754442045
Indiana;1960;223.6354846693768
Indiana;1970;5.525958623855313
Iowa;1950;400.0651641522384
Iowa;1960;63.970129865891195
Iowa;1970;31.653009372689755
Kansas;1950;93.68608286678364
Kansas;1960;0.0
Kansas;1970;3.3829228275181187
Kentucky;1950;162.14990053674163
Kentucky;1960;353.3064134955545
Kentucky;1970;33.243172877547686
Louisiana;1950;28.693698863729526
Louisiana;1960;7.491506044478668
Louisiana;1970;8.485966298904843
Maine;1950;106.48147134849536
Maine;1960;415.4694536581843
Maine;1970;42.43746270341757
Maryland;1950;62.057165148457045
Maryland;1960;104.84766450295402
Maryland;1970;35.48848549063978
Massachusetts;1950;264.4699493488347
Massachusetts;1960;421.53386818651677
Massachusetts;1970;15.907417074898447
Michigan;1950;578.4738485374385
Michigan;1960;452.232170134091
Michigan;1970;20.49558297088602
Minnesota;1950;125.7676908803839
Minnesota;1960;126.68928814973297
Minnesota;1970;1.2877890527943576
Mississippi;1950;99.36142500346503
Mississippi;1960;76.44133231044272
Mississippi;1970;6.224874961207301
Missouri;1950;58.18462454227969
Missouri;1960;17.385011804909148
Missouri;1970;16.657753307440757
Montana;1950;301.17220282086686
Montana;1960;315.9609168794562
Montana;1970;16.416837915407203
Nebraska;1950;275.59203627283085
Nebraska;1960;14.879581671189587
Nebraska;1970;53.05046939891189
Nevada;1950;68.71435442864015
Nevada;1960;268.15947952523504
Nevada;1970;4.296780688221501
New Hampshire;1950;34.31837702206503
New Hampshire;1960;187.00951194636534
New Hampshire;1970;8.675836845465723
New Jersey;1950;606.2255536283053
New Jersey;1960;176.32082379093234
New Jersey;1970;23.85548098508907
New Mexico;1950;137.5540049942233
New Mexico;1960;6.834745321616827
New Mexico;1970;29.724409448818896
New York;1950;201.77756296074926
New York;1960;278.17992094530047
New York;1970;8.59792091524868
North Carolina;1950;119.05673388185761
North Carolina;1960;27.193982645454337
North Carolina;1970;19.932865793175562
North Dakota;1950;63.58571806673596
North Dakota;1960;391.4958747466187
North Dakota;1970;51.961842848609734
Ohio;1950;162.47144857812
Ohio;1960;191.67769547467557
Ohio;1970;37.96464087505681
Oklahoma;1950;27.4475440716663
Oklahoma;1960;51.88370490885133
Oklahoma;1970;31.337562992604415
Oregon;1950;49.75873259183838
Oregon;1960;626.1141739606838
Oregon;1970;21.75591772916034
Pennsylvania;1950;165.57420585916648
Pennsylvania;1960;59.78250018596448
Pennsylvania;1970;17.788843376695546
Rhode Island;1950;30.43328921979654
Rhode Island;1960;226.6465616739268
Rhode Island;1970;11.619002350207294
South Carolina;1950;90.45704187995713
South Carolina;1960;53.89084334133302
South Carolina;1970;24.62829799159704
South Dakota;1950;102.95063884548212
South Dakota;1960;17.6337297983583
South Dakota;1970;15.9277062450132
Tennessee;1950;104.86925064662283
Tennessee;1960;537.0765910242217
Tennessee;1970;13.915483064780652
Texas;1950;177.1191335608986
Texas;1960;518.5769292036747
Texas;1970;74.36992764851881
Utah;1950;888.2766069256252
Utah;1960;557.5847127922239
Utah;1970;3.6817704217892837
Vermont;1950;158.04228756283968
Vermont;1960;891.2976010628885
Vermont;1970;2.02552157180474
Virginia;1950;85.33513324574831
Virginia;1960;186.44051133503356
Virginia;1970;53.04943923774022
Washington;1950;143.08755537601888
Washington;1960;456.4326405239845
Washington;1970;19.887544442648633
West Virginia;1950;293.23597692804776
West Virginia;1960;189.63449670800318
West Virginia;1970;20.008748811084732
Wisconsin;1950;547.2583944156119
Wisconsin;1960;1092.951348216258
Wisconsin;1970;31.328299527517633
Wyoming;1950;209.61762853277986
Wyoming;1960;210.26097810740882
Wyoming;1970;3.3091066615325375
