disease;state;ratio
Measles;Alabama;50.82072531887882
Measles;Alaska;
Measles;Arizona;318.70883566550646
Measles;Arkansas;91.07043635779003
Measles;California;139.12420519346654
Measles;Colorado;395.3696695089915
Measles;Connecticut;198.27826710772786
Measles;Delaware;196.48836002955184
Measles;District Of Columbia;214.54091236608335
Measles;Florida;84.58109085791712
Measles;Georgia;62.67821486405592
Measles;Hawaii;
Measles;Idaho;324.8181816637418
Measles;Illinois;200.94864933858085
Measles;Indiana;170.83419754442045
Measles;Iowa;400.0651641522384
Measles;Kansas;93.68608286678364
Measles;Kentucky;162.14990053674163
Measles;Louisiana;28.693698863729526
Measles;Maine;106.48147134849536
Measles;Maryland;62.057165148457045
Measles;Massachusetts;264.4699493488347
Measles;Michigan;578.4738485374385
Measles;Minnesota;125.7676908803839
Measles;Mississippi;99.36142500346503
Measles;Missouri;58.18462454227969
Measles;Montana;301.17220282086686
Measles;Nebraska;275.59203627283085
Measles;Nevada;68.71435442864015
Measles;New Hampshire;34.31837702206503
Measles;New Jersey;606.2255536283053
Measles;New Mexico;137.5540049942233
Measles;New York;201.77756296074926
Measles;North Carolina;119.05673388185761
Measles;North Dakota;63.58571806673596
Measles;Ohio;162.47144857812
Measles;Oklahoma;27.4475440716663
Measles;Oregon;49.75873259183838
Measles;Pennsylvania;165.57420585916648
Measles;Rhode Island;30.43328921979654
Measles;South Carolina;90.45704187995713
Measles;South Dakota;102.95063884548212
Measles;Tennessee;104.86925064662283
Measles;Texas;177.1191335608986
Measles;Utah;888.2766069256252
Measles;Vermont;158.04228756283968
Measles;Virginia;85.33513324574831
Measles;Washington;143.08755537601888
Measles;West Virginia;293.23597692804776
Measles;Wisconsin;547.2583944156119
Measles;Wyoming;209.61762853277986
Pertussis;Alabama;38.442155334396126
Pertussis;Alaska;
Pertussis;Arizona;260.5434726055815
Pertussis;Arkansas;102.17275522371958
Pertussis;California;47.467350020177165
Pertussis;Colorado;83.23969182447368
Pertussis;Connecticut;181.83810928221274
Pertussis;Delaware;101.85956583931969
Pertussis;District Of Columbia;23.18687373625305
Pertussis;Florida;16.52651007377391
Pertussis;Georgia;30.22140883440584
Pertussis;Hawaii;
Pertussis;Idaho;130.1311334489677
Pertussis;Illinois;37.56811157166705
Pertussis;Indiana;40.84668285283197
Pertussis;Iowa;41.85308841073866
Pertussis;Kansas;76.94330391187945
Pertussis;Kentucky;63.671426912333104
Pertussis;Louisiana;8.347257851266772
Pertussis;Maine;209.89872769415632
Pertussis;Maryland;95.68924639810226
Pertussis;Massachusetts;117.44981466849902
Pertussis;Michigan;135.75514229493047
Pertussis;Minnesota;43.68843007655031
Pertussis;Mississippi;11.014661432254783
Pertussis;Missouri;33.75770263535132
Pertussis;Montana;106.76385392132975
Pertussis;Nebraska;21.199387405602373
Pertussis;Nevada;14.992222784430577
Pertussis;New Hampshire;36.94382663031044
Pertussis;New Jersey;127.02341453911409
Pertussis;New Mexico;137.99441269431154
Pertussis;New York;50.79502679398891
Pertussis;North Carolina;78.97725440301886
Pertussis;North Dakota;52.772918293966136
Pertussis;Ohio;89.19507609958288
Pertussis;Oklahoma;40.387740216383364
Pertussis;Oregon;90.11786312207454
Pertussis;Pennsylvania;61.449729720255604
Pertussis;Rhode Island;230.08071766999706
Pertussis;South Carolina;21.634112366068077
Pertussis;South Dakota;25.12485828967123
Pertussis;Tennessee;57.05227483034695
Pertussis;Texas;145.86586720551966
Pertussis;Utah;98.56836347483241
Pertussis;Vermont;473.59740778881104
Pertussis;Virginia;95.97189243916256
Pertussis;Washington;87.30694844770599
Pertussis;West Virginia;114.03344316178288
Pertussis;Wisconsin;181.5654047444007
Pertussis;Wyoming;41.303966213355636
Polio;Alabama;9.11245653211259
Polio;Alaska;
Polio;Arizona;22.812562117539393
Polio;Arkansas;17.49138915670033
Polio;California;19.742639112869707
Polio;Colorado;15.923458726168581
Polio;Connecticut;24.062412817344864
Polio;Delaware;13.518399170033167
Polio;District Of Columbia;22.93755251328259
Polio;Florida;16.706930489426462
Polio;Georgia;14.283317143638495
Polio;Hawaii;
Polio;Idaho;27.011553809903216
Polio;Illinois;21.99220952377454
Polio;Indiana;15.174529970840501
Polio;Iowa;48.91126649276842
Polio;Kansas;27.44975985396518
Polio;Kentucky;23.532959386798314
Polio;Louisiana;15.017611223484414
Polio;Maine;10.615316259819167
Polio;Maryland;30.431058288067312
Polio;Massachusetts;10.894328425413505
Polio;Michigan;31.608191512368784
Polio;Minnesota;19.815703895043157
Polio;Mississippi;18.22008578585479
Polio;Missouri;10.493967485895729
Polio;Montana;7.783101870651615
Polio;Nebraska;33.04388499520939
Polio;Nevada;7.496111392215289
Polio;New Hampshire;4.313238642117462
Polio;New Jersey;18.32346878568139
Polio;New Mexico;20.552359337450657
Polio;New York;28.52963737758756
Polio;North Carolina;18.513371356318636
Polio;North Dakota;6.294017778179447
Polio;Ohio;22.67628768784542
Polio;Oklahoma;23.507276733482556
Polio;Oregon;33.851713718357686
Polio;Pennsylvania;12.707167795197796
Polio;Rhode Island;6.566518835806722
Polio;South Carolina;20.500447089243547
Polio;South Dakota;28.188865398167724
Polio;Tennessee;17.103530739875044
Polio;Texas;35.62353638100662
Polio;Utah;11.758523477851877
Polio;Vermont;8.736005845182092
Polio;Virginia;36.67120662432051
Polio;Washington;26.650267364393645
Polio;West Virginia;18.74795567504607
Polio;Wisconsin;27.747246748142054
Polio;Wyoming;15.488987330008364
Smallpox;Alabama;0.0
Smallpox;Alaska;
Smallpox;Arizona;0.2668135920180046
Smallpox;Arkansas;0.05236942861287523
Smallpox;California;0.0
Smallpox;Colorado;0.15093325806794863
Smallpox;Connecticut;0.0
Smallpox;Delaware;0.0
Smallpox;District Of Columbia;0.0
Smallpox;Florida;0.0
Smallpox;Georgia;0.0
Smallpox;Hawaii;
Smallpox;Idaho;0.0
Smallpox;Illinois;0.0
Smallpox;Indiana;0.0
Smallpox;Iowa;0.07630462791383529
Smallpox;Kansas;0.3673964033991515
Smallpox;Kentucky;0.1697904717662216
Smallpox;Louisiana;0.0
Smallpox;Maine;0.0
Smallpox;Maryland;0.0
Smallpox;Massachusetts;0.0
Smallpox;Michigan;0.0
Smallpox;Minnesota;0.0
Smallpox;Mississippi;0.04589442263439493
Smallpox;Missouri;0.07586000592213779
Smallpox;Montana;0.0
Smallpox;Nebraska;0.07544265980641414
Smallpox;Nevada;0.624675949351274
Smallpox;New Hampshire;0.0
Smallpox;New Jersey;0.0
Smallpox;New Mexico;0.1468025666960761
Smallpox;New York;0.0
Smallpox;North Carolina;0.0
Smallpox;North Dakota;0.16138507123537044
Smallpox;Ohio;0.025167910863313454
Smallpox;Oklahoma;0.2238788260331672
Smallpox;Oregon;0.06573148294826735
Smallpox;Pennsylvania;0.0
Smallpox;Rhode Island;0.0
Smallpox;South Carolina;0.0
Smallpox;South Dakota;0.30640071084964915
Smallpox;Tennessee;0.03037927307260221
Smallpox;Texas;0.012968160313435248
Smallpox;Utah;0.0
Smallpox;Vermont;0.0
Smallpox;Virginia;0.0
Smallpox;Washington;0.0
Smallpox;West Virginia;0.0
Smallpox;Wisconsin;0.029115683891019994
Smallpox;Wyoming;0.6883994368892606
